fukuda,Test1111,Test1111,fuk@test.com,株）ウェブジャパン,5012700000000,総務部,課長,福田,隆,東京都港区南青山７丁目162,9000001111,株）ウェブジャパン,TAKAHASI TUTOMU,12,29,123
cool_noriko,Test1111,Test1111,coo@test.com,クールジャパン株式会社,7740110000000,総務部,プロジェクトマネージャー,山田,紀子,大阪府大阪市北区角田町８丁目８−７,9000002222,クールデザイン株式会社,COOL JAPAN,12,29,123
aoi_yamamoto,Test1111,Test1111,aoi@test.com,株）ウェブビレッジ,2906130000000,人事部,主任,山本,葵,東京都港区西新橋1-1-1 ,9000003333,株）ウェブビレッジ,WEB VILLAGE,12,29,123
takumi,Test1111,Test1111,tak@test.com,株式会社　Itec,7862900000000,総務部,,鈴木,巧,神奈川県横浜市鶴見区東寺尾4丁目705番2,9000004444,株式会社　Itec,ITEC,12,29,123
yousuke_s,Test1111,Test1111,you@test.com,メディアジャパン株式会社,3216730000000,総務部,主任,佐藤,陽介,千葉県千葉市中央区今井２丁目 2-2,9000005555,メディアジャパン株式会社,MEDIA JAPAN,12,29,123
ken_kimura,Test1111,Test1111,ken@test.com,株式会社デザインワークス,8599990000000,デザイン部,,木村,健二,大阪府大阪市港区八幡屋３丁目16-1,9000006666,株式会社デザインワークス,DESIGN WORKS,12,29,123
pro_works,Test1111,Test1111,pro@test.com,株式会社アットワークス,9362650000000,人事部,課長補佐,松本,誠,東京都港区赤坂７丁目1-1,9000007777,株式会社アットワークス,YOSHIDA MAMORU,12,29,123
dai_maek,Test1111,Test1111,dai@test.com,株式会社メディアプロ,1641230000000,総務部,主任,木下,和樹,愛知県名古屋市中区丸の内３丁目23-20,9000008888,株式会社メディアプロ,HOSAKA YUUKI,12,29,123
maekawa,Test1111,Test1111,mae@test.com,株式会社JAN,5735600000000,総務部,課長,前川,大輔,兵庫県神戸市灘区城内通２丁目1-6,9000009999,株式会社JAN,UEDA NAOTO,12,29,123
gdink_lab,Test1111,Test1111,gdi@test.com,GDINC株式会社,5333700000000,開発部,課長,吉田,卓也,東京都千代田区麹町4-2-6,9000000000,GDINC株式会社,GDINC,12,29,123
